location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,tourney_id
Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Simon G.,28.0,15.0,1360.0,2145.0,6,3,7,6,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Smith J.P.,69.0,129.0,719.0,459.0,4,6,6,3,6,2,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Mitchell B.,277.0,231.0,185.0,225.0,6,2,6,4,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Groth S.,51.0,60.0,817.0,782.0,7,6,6,4,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Bellucci T.,16.0,37.0,1880.0,1105.0,6,4,6,4,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Johnson S.,22.0,32.0,1487.0,1240.0,7,6,6,1,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Thiem D.,Duckworth J.,20.0,120.0,1600.0,485.0,3,6,6,4,6,3,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Lajovic D.,197.0,76.0,252.0,678.0,6,0,6,3,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Dodig I.,Anderson O.,87.0,813.0,636.0,25.0,6,3,6,2,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Nishioka Y.,78.0,117.0,672.0,495.0,4,6,6,3,7,5,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Istomin D.,65.0,61.0,762.0,781.0,6,2,7,5,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Mahut N.,18.0,71.0,1675.0,710.0,6,4,6,3,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-06,ATP250,Outdoor,Hard,2nd Round,3,Thiem D.,Kudla D.,20.0,69.0,1600.0,719.0,6,3,6,2,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-06,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Kukushkin M.,8.0,65.0,4235.0,762.0,6,3,6,4,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-06,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Chung H.,13.0,51.0,2405.0,817.0,7,5,7,6,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-06,ATP250,Outdoor,Hard,2nd Round,3,Tomic B.,Stepanek R.,18.0,197.0,1675.0,252.0,7,6,4,6,7,6,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-07,ATP250,Outdoor,Hard,2nd Round,3,Pouille L.,Goffin D.,78.0,16.0,672.0,1880.0,7,6,4,6,6,3,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-07,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Dodig I.,14.0,87.0,2170.0,636.0,6,7,6,1,6,4,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-07,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Troicki V.,28.0,22.0,1360.0,1487.0,5,7,7,6,6,2,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-07,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Kamke T.,3.0,277.0,8265.0,185.0,6,2,6,1,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Pouille L.,14.0,78.0,2170.0,672.0,6,4,6,4,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,Nishikori K.,18.0,8.0,1675.0,4235.0,6,3,1,6,6,3,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Thiem D.,Cilic M.,20.0,13.0,1600.0,2405.0,2,6,7,6,6,4,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-08,ATP250,Outdoor,Hard,Quarterfinals,3,Federer R.,Dimitrov G.,3.0,28.0,8265.0,1360.0,6,4,6,7,6,4,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-09,ATP250,Outdoor,Hard,Semifinals,3,Raonic M.,Tomic B.,14.0,18.0,2170.0,1675.0,7,6,7,6,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-09,ATP250,Outdoor,Hard,Semifinals,3,Federer R.,Thiem D.,3.0,20.0,8265.0,1600.0,6,1,6,4,0,0,0,0,0,0,2016-001
Brisbane,Brisbane International,2016-01-10,ATP250,Outdoor,Hard,The Final,3,Raonic M.,Federer R.,14.0,3.0,2170.0,8265.0,6,4,6,4,0,0,0,0,0,0,2016-001
Chennai,Chennai Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Donskoy E.,92.0,91.0,611.0,615.0,6,7,6,4,7,6,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Pavic A.,Almagro N.,449.0,73.0,90.0,694.0,3,6,7,5,7,6,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-04,ATP250,Outdoor,Hard,1st Round,3,Coric B.,Granollers M.,44.0,84.0,941.0,645.0,7,6,2,6,6,4,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Daniel T.,27.0,96.0,1430.0,603.0,4,6,7,5,6,2,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Devvarman S.,185.0,177.0,270.0,284.0,6,3,3,6,6,3,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Krajicek A.,Ram R.,104.0,89.0,559.0,623.0,6,7,6,4,6,4,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Rosol L.,Giraldo S.,55.0,70.0,797.0,716.0,6,3,6,4,0,0,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Gimeno-Traver D.,248.0,98.0,209.0,590.0,6,2,6,0,0,0,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Vanni L.,Struff J.L.,106.0,107.0,552.0,547.0,6,4,7,6,0,0,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Muller G.,Khachanov K.,38.0,152.0,1105.0,379.0,6,7,7,6,6,2,0,0,0,0,2016-002
Chennai,Chennai Open,2016-01-05,ATP250,Outdoor,Hard,1st Round,3,Fabbiano T.,Kovalik J.,157.0,259.0,362.0,203.0,1,6,6,3,6,4,0,0,0,0,2016-002
