location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,tourney_id
Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Basilashvili N.,Arnaboldi A.,40,267.0,1395,206.0,4,6,7,5,6,1,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Celikbilek A.,Zuk K.,309,262.0,150,209.0,7,6,7,5,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Ruusuvuori E.,Vesely J.,87,67.0,806,928.0,6,3,7,6,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Bublik A.,Caruso S.,49,76.0,1090,858.0,6,3,6,3,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Goffin D.,Herbert P.H.,16,83.0,2555,822.0,3,6,7,5,6,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3,Travaglia S.,Kecmanovic M.,75,42.0,869,1328.0,1,6,6,4,6,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Struff J.L.,Kotov P.,37,269.0,1450,205.0,6,4,6,3,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Lamasine T.,Gerasimov E.,271,78.0,204,840.0,7,6,6,2,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Andreev A.,Ilhan M.,564,571.0,52,51.0,6,4,6,3,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Grenier H.,Molcan A.,250,313.0,220,145.0,7,5,6,4,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Berrettini M.,Kirkin E.,10,446.0,3085,83.0,6,0,6,4,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Chardy J.,Albot R.,72,85.0,880,817.0,6,3,6,4,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,De Minaur A.,Jaziri M.,23,249.0,1860,220.0,6,2,6,1,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Kuhn N.,Bachinger M.,253,279.0,219,189.0,3,6,6,3,4,1,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Fognini F.,Vrbensky M.,17,311.0,2400,148.0,6,4,7,6,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3,Kuzmanov D.,Djere L.,298,55.0,166,1068.0,6,1,3,2,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3,De Minaur A.,Andreev A.,23,564.0,1860,52.0,6,3,6,1,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3,Basilashvili N.,Celikbilek A.,40,309.0,1395,150.0,7,6,6,4,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3,Travaglia S.,Ruusuvuori E.,75,87.0,869,806.0,7,6,6,3,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-09,ATP250,Indoor,Hard,2nd Round,3,Goffin D.,Kuhn N.,16,253.0,2555,219.0,6,0,6,2,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3,Chardy J.,Fognini F.,72,17.0,880,2400.0,7,6,6,7,7,6,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3,Bublik A.,Lamasine T.,49,271.0,1090,204.0,6,2,6,4,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3,Struff J.L.,Grenier H.,37,250.0,1450,220.0,0,0,0,0,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-10,ATP250,Indoor,Hard,2nd Round,3,Berrettini M.,Kuzmanov D.,10,298.0,3085,166.0,6,2,6,3,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-11,ATP250,Indoor,Hard,Quarterfinals,3,Goffin D.,Travaglia S.,16,75.0,2555,869.0,6,3,6,2,0,0,0,0,0,0,2021-001
Antalya,Antalya Open,2021-01-11,ATP250,Indoor,Hard,Quarterfinals,3,Chardy J.,Struff J.L.,72,37.0,880,1450.0,4,6,6,2,7,6,0,0,0,0,2021-001
