location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,tourney_id
Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Simon G.,125.0,21.0,430.0,1730.0,6,2,6,2,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Kokkinakis T.,Benneteau J.,149.0,25.0,341.0,1365.0,6,4,6,3,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Golubev A.,31.0,72.0,1195.0,691.0,6,4,6,4,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Querrey S.,53.0,35.0,797.0,1090.0,7,5,7,6,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Copil M.,69.0,201.0,705.0,242.0,6,4,4,6,6,4,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Anderson K.,177.0,16.0,282.0,2080.0,7,6,6,4,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Matosevic M.,37.0,77.0,999.0,657.0,2,6,7,6,7,5,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Kudla D.,73.0,123.0,689.0,440.0,4,6,6,1,6,4,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Klizan M.,Melzer J.,34.0,110.0,1094.0,505.0,6,7,7,6,6,1,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Williams R.,153.0,220.0,328.0,221.0,6,3,6,1,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Berlocq C.,23.0,71.0,1455.0,700.0,6,2,6,3,0,0,0,0,0,0,2015-001
Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Hewitt L.,85.0,84.0,586.0,595.0,6,3,6,2,0,0,0,0,0,0,2015-001
